INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 384/990
DEBUG:root:Processing tweet 385/990
DEBUG:root:Processing tweet 386/990
DEBUG:root:Processing tweet 387/990
DEBUG:root:Processing tweet 388/990
DEBUG:root:Processing tweet 389/990
DEBUG:root:Processing tweet 390/990
DEBUG:root:Processing tweet 391/990
DEBUG:root:Processing tweet 392/990
DEBUG:root:Processing tweet 393/990
DEBUG:root:Processing tweet 394/990
DEBUG:root:Processing tweet 395/990
DEBUG:root:Processing tweet 396/990
DEBUG:root:Processing tweet 397/990
DEBUG:root:Processing tweet 398/990
DEBUG:root:Processing tweet 399/990
DEBUG:root:Tweet 1323602028917129216 already processed
DEBUG:root:Processing tweet 400/990
DEBUG:root:Processing tweet 401/990
DEBUG:root:Processing tweet 402/990
DEBUG:root:Processing tweet 403/990
DEBUG:root:Processing tweet 404/990
DEBUG:root:Processing tweet 405/990
DEBUG:root:Tweet 1323459589300510722 already processed
DEBUG:root:Processing tweet 406/990
DEBUG:root:Processing tweet 407/990
DEBUG:root:Processing tweet 408/990
DEBUG:root:Processing tweet 409/990
DEBUG:root:Processing tweet 410/990
DEBUG:root:Processing tweet 411/990
DEBUG:root:Processing tweet 412/990
DEBUG:root:Processing tweet 413/990
DEBUG:root:Processing tweet 414/990
DEBUG:root:Processing tweet 415/990
DEBUG:root:Processing tweet 416/990
DEBUG:root:Processing tweet 417/990
DEBUG:root:Processing tweet 418/990
DEBUG:root:Processing tweet 419/990
DEBUG:root:Tweet 1323379465196609539 already processed
DEBUG:root:Processing tweet 420/990
DEBUG:root:Processing tweet 421/990
DEBUG:root:Processing tweet 422/990
DEBUG:root:Processing tweet 423/990
DEBUG:root:Processing tweet 424/990
DEBUG:root:Tweet 1323359572044689416 already processed
DEBUG:root:Processing tweet 425/990
DEBUG:root:Processing tweet 426/990
DEBUG:root:Processing tweet 427/990
DEBUG:root:Processing tweet 428/990
DEBUG:root:Tweet 1323353222929616896 already processed
DEBUG:root:Processing tweet 429/990
DEBUG:root:Tweet 1323352725996752896 already processed
DEBUG:root:Processing tweet 430/990
DEBUG:root:Processing tweet 431/990
DEBUG:root:Processing tweet 432/990
DEBUG:root:Processing tweet 433/990
DEBUG:root:Processing tweet 434/990
DEBUG:root:Processing tweet 435/990
DEBUG:root:Processing tweet 436/990
DEBUG:root:Processing tweet 437/990
DEBUG:root:Processing tweet 438/990
DEBUG:root:Processing tweet 439/990
DEBUG:root:Processing tweet 440/990
DEBUG:root:Processing tweet 441/990
DEBUG:root:Processing tweet 442/990
DEBUG:root:Processing tweet 443/990
DEBUG:root:Processing tweet 444/990
DEBUG:root:Processing tweet 445/990
DEBUG:root:Tweet 1323295977260883969 already processed
DEBUG:root:Processing tweet 446/990
DEBUG:root:Processing tweet 447/990
DEBUG:root:Processing tweet 448/990
DEBUG:root:Processing tweet 449/990
DEBUG:root:Tweet 1323281288053334017 already processed
DEBUG:root:Processing tweet 450/990
DEBUG:root:Tweet 1323280381370662912 already processed
DEBUG:root:Processing tweet 451/990
DEBUG:root:Tweet 1323278693050077185 already processed
DEBUG:root:Processing tweet 452/990
DEBUG:root:Processing tweet 453/990
DEBUG:root:Processing tweet 454/990
DEBUG:root:Processing tweet 455/990
DEBUG:root:Processing tweet 456/990
DEBUG:root:Processing tweet 457/990
DEBUG:root:Processing tweet 458/990
DEBUG:root:Processing tweet 459/990
DEBUG:root:Processing tweet 460/990
DEBUG:root:Tweet 1323248493369073667 already processed
DEBUG:root:Processing tweet 461/990
DEBUG:root:Processing tweet 462/990
DEBUG:root:Processing tweet 463/990
DEBUG:root:Processing tweet 464/990
DEBUG:root:Processing tweet 465/990
DEBUG:root:Processing tweet 466/990
DEBUG:root:Processing tweet 467/990
DEBUG:root:Processing tweet 468/990
DEBUG:root:Processing tweet 469/990
DEBUG:root:Processing tweet 470/990
DEBUG:root:Processing tweet 471/990
DEBUG:root:Processing tweet 472/990
DEBUG:root:Processing tweet 473/990
DEBUG:root:Processing tweet 474/990
DEBUG:root:Processing tweet 475/990
DEBUG:root:Processing tweet 476/990
DEBUG:root:Processing tweet 477/990
DEBUG:root:Processing tweet 478/990
DEBUG:root:Processing tweet 479/990
DEBUG:root:Processing tweet 480/990
DEBUG:root:Processing tweet 481/990
DEBUG:root:Processing tweet 482/990
DEBUG:root:Processing tweet 483/990
DEBUG:root:Tweet 1323047806559490049 already processed
DEBUG:root:Processing tweet 484/990
DEBUG:root:Tweet 1323046148639281155 already processed
DEBUG:root:Processing tweet 485/990
DEBUG:root:Processing tweet 486/990
DEBUG:root:Processing tweet 487/990
DEBUG:root:Processing tweet 488/990
DEBUG:root:Processing tweet 489/990
DEBUG:root:Processing tweet 490/990
DEBUG:root:Processing tweet 491/990
DEBUG:root:Processing tweet 492/990
DEBUG:root:Processing tweet 493/990
DEBUG:root:Processing tweet 494/990
DEBUG:root:Tweet 1323017986299539458 already processed
DEBUG:root:Processing tweet 495/990
DEBUG:root:Processing tweet 496/990
DEBUG:root:Processing tweet 497/990
DEBUG:root:Processing tweet 498/990
DEBUG:root:Processing tweet 499/990
DEBUG:root:Processing tweet 500/990
DEBUG:root:Processing tweet 501/990
DEBUG:root:Processing tweet 502/990
DEBUG:root:Processing tweet 503/990
DEBUG:root:Processing tweet 504/990
DEBUG:root:Processing tweet 505/990
DEBUG:root:Processing tweet 506/990
DEBUG:root:Processing tweet 507/990
DEBUG:root:Processing tweet 508/990
DEBUG:root:Processing tweet 509/990
DEBUG:root:Tweet 1322921373497511938 already processed
DEBUG:root:Processing tweet 510/990
DEBUG:root:Processing tweet 511/990
DEBUG:root:Processing tweet 512/990
DEBUG:root:Processing tweet 513/990
DEBUG:root:Processing tweet 514/990
DEBUG:root:Processing tweet 515/990
DEBUG:root:Processing tweet 516/990
DEBUG:root:Tweet 1322871348180455429 already processed
DEBUG:root:Processing tweet 517/990
DEBUG:root:Processing tweet 518/990
DEBUG:root:Tweet 1322828561800138754 already processed
DEBUG:root:Processing tweet 519/990
DEBUG:root:Processing tweet 520/990
DEBUG:root:Processing tweet 521/990
DEBUG:root:Processing tweet 522/990
DEBUG:root:Processing tweet 523/990
DEBUG:root:Processing tweet 524/990
DEBUG:root:Processing tweet 525/990
DEBUG:root:Processing tweet 526/990
DEBUG:root:Processing tweet 527/990
DEBUG:root:Processing tweet 528/990
DEBUG:root:Processing tweet 529/990
DEBUG:root:Processing tweet 530/990
DEBUG:root:Processing tweet 531/990
DEBUG:root:Processing tweet 532/990
DEBUG:root:Tweet 1322613955865567232 already processed
DEBUG:root:Processing tweet 533/990
DEBUG:root:Processing tweet 534/990
DEBUG:root:Tweet 1322584116307484672 already processed
DEBUG:root:Processing tweet 535/990
DEBUG:root:Processing tweet 536/990
DEBUG:root:Tweet 1322574461443448833 already processed
DEBUG:root:Processing tweet 537/990
DEBUG:root:Processing tweet 538/990
DEBUG:root:Processing tweet 539/990
DEBUG:root:Processing tweet 540/990
DEBUG:root:Tweet 1322524174112428034 already processed
DEBUG:root:Processing tweet 541/990
DEBUG:root:Processing tweet 542/990
DEBUG:root:Processing tweet 543/990
DEBUG:root:Processing tweet 544/990
DEBUG:root:Processing tweet 545/990
DEBUG:root:Processing tweet 546/990
DEBUG:root:Tweet 1322434839799365632 already processed
DEBUG:root:Processing tweet 547/990
DEBUG:root:Processing tweet 548/990
DEBUG:root:Processing tweet 549/990
DEBUG:root:Processing tweet 550/990
DEBUG:root:Processing tweet 551/990
DEBUG:root:Processing tweet 552/990
DEBUG:root:Tweet 1322370573826220033 already processed
DEBUG:root:Processing tweet 553/990
DEBUG:root:Processing tweet 554/990
DEBUG:root:Processing tweet 555/990
DEBUG:root:Processing tweet 556/990
DEBUG:root:Processing tweet 557/990
DEBUG:root:Processing tweet 558/990
DEBUG:root:Tweet 1322305672935960576 already processed
DEBUG:root:Processing tweet 559/990
DEBUG:root:Processing tweet 560/990
DEBUG:root:Processing tweet 561/990
DEBUG:root:Processing tweet 562/990
DEBUG:root:Processing tweet 563/990
DEBUG:root:Processing tweet 564/990
DEBUG:root:Processing tweet 565/990
DEBUG:root:Processing tweet 566/990
DEBUG:root:Processing tweet 567/990
DEBUG:root:Processing tweet 568/990
DEBUG:root:Processing tweet 569/990
DEBUG:root:Processing tweet 570/990
DEBUG:root:Processing tweet 571/990
DEBUG:root:Processing tweet 572/990
DEBUG:root:Processing tweet 573/990
DEBUG:root:Processing tweet 574/990
DEBUG:root:Processing tweet 575/990
DEBUG:root:Processing tweet 576/990
DEBUG:root:Processing tweet 577/990
DEBUG:root:Processing tweet 578/990
DEBUG:root:Tweet 1322259801213194241 already processed
DEBUG:root:Processing tweet 579/990
DEBUG:root:Processing tweet 580/990
DEBUG:root:Processing tweet 581/990
DEBUG:root:Processing tweet 582/990
DEBUG:root:Processing tweet 583/990
DEBUG:root:Processing tweet 584/990
DEBUG:root:Processing tweet 585/990
DEBUG:root:Processing tweet 586/990
DEBUG:root:Processing tweet 587/990
DEBUG:root:Processing tweet 588/990
DEBUG:root:Processing tweet 589/990
DEBUG:root:Processing tweet 590/990
DEBUG:root:Processing tweet 591/990
DEBUG:root:Processing tweet 592/990
DEBUG:root:Processing tweet 593/990
DEBUG:root:Processing tweet 594/990
DEBUG:root:Processing tweet 595/990
DEBUG:root:Processing tweet 596/990
DEBUG:root:Processing tweet 597/990
DEBUG:root:Processing tweet 598/990
DEBUG:root:Processing tweet 599/990
DEBUG:root:Processing tweet 600/990
DEBUG:root:Processing tweet 601/990
DEBUG:root:Processing tweet 602/990
DEBUG:root:Processing tweet 603/990
DEBUG:root:Processing tweet 604/990
DEBUG:root:Tweet 1322191631697743873 already processed
DEBUG:root:Processing tweet 605/990
DEBUG:root:Processing tweet 606/990
DEBUG:root:Processing tweet 607/990
DEBUG:root:Processing tweet 608/990
DEBUG:root:Processing tweet 609/990
DEBUG:root:Processing tweet 610/990
DEBUG:root:Processing tweet 611/990
DEBUG:root:Tweet 1322170934783021058 already processed
DEBUG:root:Processing tweet 612/990
DEBUG:root:Processing tweet 613/990
DEBUG:root:Tweet 1322167600332328965 already processed
DEBUG:root:Processing tweet 614/990
DEBUG:root:Processing tweet 615/990
DEBUG:root:Processing tweet 616/990
DEBUG:root:Processing tweet 617/990
DEBUG:root:Tweet 1322147957647372288 already processed
DEBUG:root:Processing tweet 618/990
DEBUG:root:Processing tweet 619/990
DEBUG:root:Processing tweet 620/990
DEBUG:root:Processing tweet 621/990
DEBUG:root:Processing tweet 622/990
DEBUG:root:Processing tweet 623/990
DEBUG:root:Processing tweet 624/990
DEBUG:root:Processing tweet 625/990
DEBUG:root:Processing tweet 626/990
DEBUG:root:Processing tweet 627/990
DEBUG:root:Processing tweet 628/990
DEBUG:root:Processing tweet 629/990
DEBUG:root:Processing tweet 630/990
DEBUG:root:Processing tweet 631/990
DEBUG:root:Processing tweet 632/990
DEBUG:root:Processing tweet 633/990
DEBUG:root:Processing tweet 634/990
DEBUG:root:Processing tweet 635/990
DEBUG:root:Processing tweet 636/990
DEBUG:root:Processing tweet 637/990
DEBUG:root:Processing tweet 638/990
DEBUG:root:Processing tweet 639/990
DEBUG:root:Processing tweet 640/990
DEBUG:root:Processing tweet 641/990
DEBUG:root:Processing tweet 642/990
DEBUG:root:Processing tweet 643/990
DEBUG:root:Processing tweet 644/990
DEBUG:root:Processing tweet 645/990
DEBUG:root:Processing tweet 646/990
DEBUG:root:Processing tweet 647/990
DEBUG:root:Processing tweet 648/990
DEBUG:root:Processing tweet 649/990
DEBUG:root:Processing tweet 650/990
DEBUG:root:Processing tweet 651/990
DEBUG:root:Processing tweet 652/990
DEBUG:root:Processing tweet 653/990
DEBUG:root:Processing tweet 654/990
DEBUG:root:Processing tweet 655/990
DEBUG:root:Processing tweet 656/990
